Arbeitsmarktindikatoren nach Geschlecht im Land Salzburg;;;;;;;;;;;;
Main labour market indicators Salzburg for NUTS1, NUTS2 and sex;;;;;;;;;;;;
NUTS1;NUTS2;REF_YEAR;UNEMP_RATE_NATIONAL_TOTAL;UNEMP_RATE_NATIONAL_MEN;UNEMP_RATE_NATIONAL_WOMEN;JOB_DEMAND_INDEX;UNEMP_RATE_INTERNATIONAL_TOTAL;UNEMP_RATE_INTERNATIONAL_MEN;UNEMP_RATE_INTERNATIONAL_WOMEN;PART_TIME_TOTAL;PART_TIME_MEN;PART_TIME_WOMEN
AT3;AT32;1980;1,5;1,2;2;1;;;;;;
AT3;AT32;1981;1,8;1,6;2,2;1,7;;;;;;
AT3;AT32;1982;2,9;2,9;2,8;4,7;;;;;;
AT3;AT32;1983;3,5;3,7;3,3;6,2;;;;;;
AT3;AT32;1984;3,5;3,6;3,4;4,9;;;;;;
AT3;AT32;1985;3,9;4;3,7;4,5;;;;;;
AT3;AT32;1986;4,2;4,3;4,2;4,4;;;;;;
AT3;AT32;1987;4,2;4,1;4,3;3,5;;;;;;
AT3;AT32;1988;3,6;3,5;3,8;2,6;;;;;;
AT3;AT32;1989;3,3;3,1;3,6;1,8;;;;;;
AT3;AT32;1990;3,4;3,2;3,8;1,6;;;;;;
AT3;AT32;1991;3,7;3,5;4,1;1,8;;;;;;
AT3;AT32;1992;3,8;3,6;4;2,2;;;;;;
AT3;AT32;1993;4,4;4,4;4,4;3,7;;;;;;
AT3;AT32;1994;4;4;4;4,3;2,6;2,5;2,7;15,5;4,2;30
AT3;AT32;1995;4,2;4,2;4,2;5,2;2,8;2,5;3,1;15,9;4,4;30,8
AT3;AT32;1996;4,6;4,6;4,7;6,8;3,2;2,9;3,5;16;4;31
AT3;AT32;1997;4,9;4,9;4,9;7,6;3,2;3,4;2,8;18,1;4,6;35,2
AT3;AT32;1998;4,9;4,9;5;5,8;3,4;3,1;3,9;18,9;4,9;36,2
AT3;AT32;1999;4,6;4,5;4,8;3,9;2,7;2,6;2,8;19,4;4,1;37,9
AT3;AT32;2000;4,1;3,9;4,3;2,9;2,3;2,1;2,6;18,9;3,7;37,2
AT3;AT32;2001;4,3;4,3;4,4;3,9;1,9;1,8;2,1;21,1;4,8;40,4
AT3;AT32;2002;4,9;5;4,8;5,2;2,7;2,7;2,8;20,6;4,9;39,2
AT3;AT32;2003;5;5,1;4,8;5,8;2,2;2,2;2,3;20,9;4,5;40,2
AT3;AT32;2004;5,1;5,3;4,8;6,2;4,1;3,8;4,4;20,5;4,8;38,9
AT3;AT32;2005;5,1;5,3;4,9;5,9;3,6;3,4;3,7;23,3;5,6;43,4
AT3;AT32;2006;4,5;4,5;4,4;4,1;3,5;3,1;4;23,6;6,7;43,2
AT3;AT32;2007;4;3,9;4,1;3,2;3,5;3,3;3,6;23,6;6,5;43
AT3;AT32;2008;4;4;4;3,3;2,8;2,5;3,1;24,3;7,5;43,5
AT3;AT32;2009;5,2;5,6;4,8;5,6;3,5;3,5;3,6;25,9;8,3;45,4
AT3;AT32;2010;4,7;4,9;4,4;4,2;3,2;2,8;3,7;26,3;8,7;46,2
AT3;AT32;2011;4,5;4,7;4,3;3,7;2,9;2,7;3,2;25,9;8,5;45,5
AT3;AT32;2012;4,7;4,9;4,4;4,1;2,9;2,9;2,9;26,2;8,3;46,1
AT3;AT32;2013;5,1;5,5;4,7;4,9;3,2;3,5;2,8;27;9;46,9
AT3;AT32;2014;5,7;6,1;5,2;5,5;3,5;3,7;3,3;27,9;9;48,6
